Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20250826,BRF    ,202510     ,190130,2066,2,-,-, 
20250826,BRF    ,202510     ,230701,2060,4,-,-, 
20250826,BRF    ,202510     ,230703,2058,4,-,-, 
20250827,BRF    ,202510     ,022654,2055,4,-,-, 
20250827,BTF    ,202509     ,091005,4125,2,-,-, 
20250827,BTF    ,202509     ,091550,4149,2,-,-, 
20250827,BTF    ,202509     ,103007,4207,2,-,-, 
20250827,BTF    ,202509     ,114649,4192,2,-,-, 
20250827,BTF    ,202509     ,125002,4107,22,-,-, 
20250827,BTF    ,202509     ,125550,4105,22,-,-, 
20250827,BTF    ,202509     ,130921,4102,22,-,-, 
20250827,CAF    ,202509     ,084500,46.05,118,-,-,*
20250827,CAF    ,202509     ,084500,46,10,-,-, 
20250827,CAF    ,202509     ,084500,46,2,-,-, 
20250827,CAF    ,202509     ,084501,46,2,-,-, 
20250827,CAF    ,202509     ,084509,46,8,-,-, 
20250827,CAF    ,202509     ,084509,45.95,2,-,-, 
20250827,CAF    ,202509     ,084509,45.95,2,-,-, 
20250827,CAF    ,202509     ,084510,46,4,-,-, 
20250827,CAF    ,202509     ,084511,46,4,-,-, 
20250827,CAF    ,202509     ,084512,46,4,-,-, 
20250827,CAF    ,202509     ,084512,46,2,-,-, 
20250827,CAF    ,202509     ,084513,45.95,2,-,-, 
20250827,CAF    ,202509     ,084513,45.9,2,-,-, 
20250827,CAF    ,202509     ,084514,45.95,2,-,-, 
20250827,CAF    ,202509     ,084514,45.9,2,-,-, 
20250827,CAF    ,202509     ,084517,45.85,2,-,-, 
20250827,CAF    ,202509     ,084517,45.85,4,-,-, 
20250827,CAF    ,202509     ,084517,45.8,2,-,-, 
20250827,CAF    ,202509     ,084517,45.8,2,-,-, 
20250827,CAF    ,202509     ,084517,45.8,2,-,-, 
20250827,CAF    ,202509     ,084517,45.8,2,-,-, 
20250827,CAF    ,202509     ,084517,45.85,2,-,-, 
20250827,CAF    ,202509     ,084517,45.9,2,-,-, 
20250827,CAF    ,202509     ,084517,45.95,14,-,-, 
20250827,CAF    ,202509     ,084517,45.95,4,-,-, 
20250827,CAF    ,202509     ,084519,45.9,2,-,-, 
20250827,CAF    ,202509     ,084521,45.9,10,-,-, 
20250827,CAF    ,202509     ,084522,45.9,4,-,-, 
20250827,CAF    ,202509     ,084523,45.9,2,-,-, 
20250827,CAF    ,202509     ,084524,45.9,2,-,-, 
20250827,CAF    ,202509     ,084524,45.9,2,-,-, 
20250827,CAF    ,202509     ,084525,45.9,2,-,-, 
20250827,CAF    ,202509     ,084526,45.9,2,-,-, 
20250827,CAF    ,202509     ,084526,45.85,2,-,-, 
20250827,CAF    ,202509     ,084527,45.9,2,-,-, 
20250827,CAF    ,202509     ,084527,45.9,4,-,-, 
20250827,CAF    ,202509     ,084527,45.95,12,-,-, 
20250827,CAF    ,202509     ,084527,46,26,-,-, 
20250827,CAF    ,202509     ,084527,46,2,-,-, 
20250827,CAF    ,202509     ,084528,46,12,-,-, 
20250827,CAF    ,202509     ,084528,46.05,2,-,-, 
20250827,CAF    ,202509     ,084530,46,6,-,-, 
20250827,CAF    ,202509     ,084530,46,18,-,-, 
20250827,CAF    ,202509     ,084530,46.05,2,-,-, 
20250827,CAF    ,202509     ,084533,46.05,6,-,-, 
20250827,CAF    ,202509     ,084535,45.95,10,-,-, 
20250827,CAF    ,202509     ,084536,46,2,-,-, 
20250827,CAF    ,202509     ,084539,46,6,-,-, 
20250827,CAF    ,202509     ,084539,46,4,-,-, 
20250827,CAF    ,202509     ,084540,46,4,-,-, 
20250827,CAF    ,202509     ,084540,46,2,-,-, 
20250827,CAF    ,202509     ,084540,46,4,-,-, 
20250827,CAF    ,202509     ,084541,46,2,-,-, 
20250827,CAF    ,202509     ,084542,46,2,-,-, 
20250827,CAF    ,202509     ,084546,46.05,2,-,-, 
20250827,CAF    ,202509     ,084546,46.05,10,-,-, 
20250827,CAF    ,202509     ,084546,46.05,2,-,-, 
20250827,CAF    ,202509     ,084546,46.05,2,-,-, 
20250827,CAF    ,202509     ,084547,46,2,-,-, 
20250827,CAF    ,202509     ,084549,46,2,-,-, 
20250827,CAF    ,202509     ,084549,46,2,-,-, 
20250827,CAF    ,202509     ,084549,46,2,-,-, 
20250827,CAF    ,202509     ,084549,46,8,-,-, 
20250827,CAF    ,202509     ,084549,46,2,-,-, 
20250827,CAF    ,202509     ,084551,46,2,-,-, 
20250827,CAF    ,202509     ,084551,46,2,-,-, 
